year,name,beta,alfa,returns
2013,AFLT,0.23690314136201474,0.008808009396761136,0.06428753453092796
2013,ALRS,-0.05629300683740334,0.0006410252059257735,0.09530432237999796
2013,GCHE,-0.3073679381918041,0.0007137437342607716,0.11896236539920142
2013,HYDR,-0.017781270739982948,2.112561068524597e-05,0.09157265245340492
2013,IRAO,-0.10644650123261172,-0.00222521393307238,0.09851041281371489
2013,LKOH,0.17261280416950842,-0.00017246968197874742,0.0747333773870348
2013,LSRG,0.10470485180808428,0.00023399339051334998,0.08176562901602674
2013,MGNT,0.09903289104724101,0.0019692837889066163,0.08191468017695565
2013,MRKC,-0.4607406293117102,-0.004943430945029829,0.1334142173021857
2013,MRKP,0.29655558122659537,-0.006999661403854027,0.062056450795796664
2013,MSNG,-0.2639291789267389,-0.0010565836339904763,0.10883394967563283
2013,MSRS,0.18553887769230493,0.0022470931398703175,0.07267840817723431
2013,MTLR,0.27184289352251956,-0.003529934424259857,0.06780599240808899
2013,MTLRP,-0.16235833560888382,-0.004772199673535222,0.10529854242174191
2013,MTSS,0.10196630841104194,0.0015082100515440432,0.08167518784960869
2013,NVTK,0.16338550834484108,0.0009444890832739836,0.07581416969435067
2013,PHOR,0.4326310369884117,0.0038372817622842437,0.04666401032712311
2013,PIKK,-0.10833357915869878,0.0009832424540469707,0.10020795052032921
2013,RGSS,-1.3402713890839923,0.00986149152380735,0.1466681020283948
2013,RTKM,0.1598587103194077,0.00018224067947433453,0.07704935408749136
2013,RTKMP,0.06666681831425068,-0.000380923315986086,0.08524266507299035
2013,SBER,0.20626889946513294,-0.0002328424702438761,0.07175668682241293
2013,SBERP,0.2095761502931469,3.378673275323713e-05,0.07146417926180276
2013,TATN,0.23499920125541016,-4.783005777038693e-05,0.07106689659675533
2013,TATNP,-0.01964116462391714,0.0016651790623602612,0.09149230140822001
2013,TGKA,0.09851016866277375,-0.0013422330763071305,0.08071768019419179
2013,TRMK,-0.14633558997553908,0.0013400988626193606,0.10366164003052508
2013,TRNFP,-0.33703871035766736,0.00016402190459052275,0.12787383149899612
2013,UTAR,-0.18640349917031357,0.000932012391286634,0.1075642465717796
2013,VTBR,0.005097236434994556,9.28480115541674e-05,0.08954917837412744
2014-01-31 00:00:00,ABRD,-0.003920664753825106,0.0005775966653612399,0.09036965723255254
2014-01-31 00:00:00,AFKS,0.2765259864924031,-0.0044448645769024474,0.06392793382909981
2014-01-31 00:00:00,AFLT,0.4544377933555276,-0.003449119880825268,0.048659185017180265
2014-01-31 00:00:00,AKRN,0.22579670661346346,-0.0019270052262616777,0.06871090977498678
2014-01-31 00:00:00,ALRS,0.11308703967722265,0.0016224987422438007,0.07971232047024464
2014-01-31 00:00:00,AMEZ,-0.34432229304121714,-0.00016708763386691787,0.12246419521780941
2014-01-31 00:00:00,APTK,0.2327460914241861,-0.0032474162026532027,0.06805569171418009
2014-01-31 00:00:00,ARSA,-0.14944903687024677,0.0010709111121661957,0.10409070166562961
2014-01-31 00:00:00,ASSB,0.20001493594787528,0.002988301931106407,0.07114172663716495
2014-01-31 00:00:00,BANE,0.8003851288090934,-0.0031263031422500125,0.014536227841688037
2014-01-31 00:00:00,BANEP,0.5496448541492476,-0.0052262140761530716,0.038177105560139965
2014-01-31 00:00:00,BISVP,-0.23316789210480335,-0.004057797826087711,0.11198407747856551
2014-01-31 00:00:00,BLNG,0.1377621800171888,-0.0024328741830409854,0.07701118575214165
2014-01-31 00:00:00,BRZL,0.6180868423677278,0.004686187170802723,0.031724098852398915
2014-01-31 00:00:00,BSPB,0.08402069594919076,-0.003538543567916683,0.08207816533882045
2014-01-31 00:00:00,CHGZ,0.03286194058469869,-0.004871762751355958,0.08686252482782637
2014-01-31 00:00:00,CHKZ,-0.12859969020596154,0.0009160635398878823,0.1021249350744083
2014-01-31 00:00:00,CHMF,0.1946996112001967,0.0026961461187435,0.07164287844679826
2014-01-31 00:00:00,CHMK,0.0727099077302099,-0.004766169025705207,0.08314459537901636
2014-01-31 00:00:00,CNTL,-0.1396921643313367,-0.0003464466386931695,0.10317078151750099
2014-01-31 00:00:00,CNTLP,0.11556960989041971,-0.004208041955809735,0.07910359726176794
2014-01-31 00:00:00,DIOD,-0.006009304919200408,-0.001342380372959193,0.0905665832621442
2014-01-31 00:00:00,DVEC,0.7046570712635735,0.006269004845085812,0.023561883196531533
2014-01-31 00:00:00,DZRD,-0.46923055099969047,-0.00259706711636773,0.13418337703677016
2014-01-31 00:00:00,DZRDP,-0.4203550775445374,0.0028367450727588913,0.12963289503468112
2014-01-31 00:00:00,FEES,0.06165053700033852,-0.003809680811497173,0.08418732069078609
2014-01-31 00:00:00,FESH,0.060790712591004055,-0.003009426728055382,0.08426838865542795
2014-01-31 00:00:00,GAZA,-0.08484141506187338,-0.0014080348714660543,0.09803195555887782
2014-01-31 00:00:00,GAZAP,-0.1163734812056462,0.00043297677489785694,0.1010731138282905
2014-01-31 00:00:00,GAZP,0.18696809684602914,-0.0020181101888739365,0.0723718390642072
2014-01-31 00:00:00,GCHE,0.28127489786136856,0.0004977290155309577,0.0644120456488945
2014-01-31 00:00:00,GMKN,0.1283844775089558,0.0006563609374962741,0.0778953561096078
2014-01-31 00:00:00,HIMCP,0.06739219861836548,-5.153466158408556e-05,0.08338885227000957
2014-01-31 00:00:00,HYDR,0.3149748128646989,0.0008136027551714313,0.06134631922503722
2014-01-31 00:00:00,IGST,-0.7579797637954543,0.014219909787679404,0.1613723895826183
2014-01-31 00:00:00,IGSTP,1.5015167874338378,-0.01296053051755217,-0.05763036846498401
