period,beta,future_income,fact_income,moex_income
2014-07-31,0.3789638595247221,10.948230265886535,10.77711456221732,0.32515278271848497
2015-01-31,0.3555110719897534,11.7173150102648,11.714036881510948,0.016144477106634716
2015-07-31,0.3404633404143816,11.87715647514609,12.638545985798297,0.45459139939985505
2016-01-31,0.3560838147220233,11.752363974641696,12.141229820468654,0.3356923378238703
2016-07-31,0.3461832585041547,11.884463654308252,12.509047670455272,0.29431631375979334
2017-01-31,0.31754799325608507,12.37759567620741,12.627256815089124,-0.37714259445296744
2017-07-31,0.3075680781396353,12.347898946758413,12.625595617439272,0.10666437783883806
2018-01-31,0.3175831586962724,12.327464493966373,10.620168964612512,-0.23088159012289158
2018-07-31,0.39976950052189764,10.7118495726427,12.093075736914559,-0.16477928540704292
2019-01-31,0.32046757293345435,12.178777269533708,12.454894719682404,0.00662238174471041
2019-07-31,0.3365381063445215,11.944542769610457,11.720404637920268,0.30273388008052493
2020-01-31,0.3565014574787888,11.690898834858704,9.235308500600706,0.29876516975665374
2020-07-31,0.44023138565210196,10.208476304532187,12.805448170778478,0.2833157876092864
2021-01-31,0.291000535692322,12.844435403502585,12.969958008445708,0.12626519676222317
2021-07-31,0.28621517198562424,12.882859897618818,9.838496961328927,-0.28128754004408846
2022-01-31,0.3950693305272692,10.779574093077704,8.881595363843072,-0.8544803621486831
2022-07-31,0.46068618879136564,9.314001300320065,9.250548557917716,0.29322413488001203
2023-01-31,0.48621863952084693,9.39351159205534,10.824793635619452,0.3784553814545155
2023-07-31,0.4069474279637266,10.82980079062143,10.669329810558905,0.6832147197929535
2024-01-31,0.41678588151447604,10.781593450259596,8.975647640879654,0.22027471391865516
2024-07-31,0.5017458052795283,9.076043254309578,7.941268111173915,-0.35479130383217966
